n_hidden,layer_size,eta,activation,n_epochs,optimizer,train_acc,val_acc
0,50,0.01,leaky_ReLU,250,train_network_stocastic_ADAM,1.0,0.84
0,50,0.01,leaky_ReLU,500,train_network_SRMSprop,1.0,0.84
0,50,0.01,leaky_ReLU,500,train_network_stocastic_ADAM,1.0,0.83
0,100,0.1,sigmoid,25,train_network_SRMSprop,1.0,0.82
0,100,0.1,sigmoid,25,train_network_stocastic_ADAM,1.0,0.84
0,100,0.1,sigmoid,50,train_network_SRMSprop,1.0,0.85
0,100,0.1,sigmoid,50,train_network_stocastic_ADAM,1.0,0.85
0,100,0.1,sigmoid,100,train_network_SRMSprop,1.0,0.82
0,100,0.1,sigmoid,100,train_network_stocastic_ADAM,0.9966666666666667,0.82
0,100,0.1,sigmoid,250,train_network_SRMSprop,1.0,0.8
0,100,0.1,sigmoid,250,train_network_stocastic_ADAM,1.0,0.77
0,100,0.1,sigmoid,500,train_network_SRMSprop,1.0,0.78
0,100,0.1,sigmoid,500,train_network_stocastic_ADAM,1.0,0.82
0,100,0.1,ReLU,25,train_network_SRMSprop,1.0,0.83
0,100,0.1,ReLU,25,train_network_stocastic_ADAM,1.0,0.83
0,100,0.1,ReLU,50,train_network_SRMSprop,1.0,0.83
0,100,0.1,ReLU,50,train_network_stocastic_ADAM,1.0,0.85
0,100,0.1,ReLU,100,train_network_SRMSprop,1.0,0.83
0,100,0.1,ReLU,100,train_network_stocastic_ADAM,1.0,0.84
0,100,0.1,ReLU,250,train_network_SRMSprop,1.0,0.8
0,100,0.1,ReLU,250,train_network_stocastic_ADAM,1.0,0.84
0,100,0.1,ReLU,500,train_network_SRMSprop,1.0,0.8
0,100,0.1,ReLU,500,train_network_stocastic_ADAM,1.0,0.82
0,100,0.1,leaky_ReLU,25,train_network_SRMSprop,1.0,0.84
0,100,0.1,leaky_ReLU,25,train_network_stocastic_ADAM,1.0,0.86
0,100,0.1,leaky_ReLU,50,train_network_SRMSprop,1.0,0.83
0,100,0.1,leaky_ReLU,50,train_network_stocastic_ADAM,1.0,0.84
0,100,0.1,leaky_ReLU,100,train_network_SRMSprop,1.0,0.84
0,100,0.1,leaky_ReLU,100,train_network_stocastic_ADAM,1.0,0.79
0,100,0.1,leaky_ReLU,250,train_network_SRMSprop,1.0,0.79
0,100,0.1,leaky_ReLU,250,train_network_stocastic_ADAM,1.0,0.81
0,100,0.1,leaky_ReLU,500,train_network_SRMSprop,1.0,0.82
0,100,0.1,leaky_ReLU,500,train_network_stocastic_ADAM,1.0,0.82
0,100,0.01,sigmoid,25,train_network_SRMSprop,0.9166666666666666,0.78
0,100,0.01,sigmoid,25,train_network_stocastic_ADAM,0.9166666666666666,0.69
0,100,0.01,sigmoid,50,train_network_SRMSprop,0.9666666666666667,0.83
0,100,0.01,sigmoid,50,train_network_stocastic_ADAM,0.9533333333333334,0.79
0,100,0.01,sigmoid,100,train_network_SRMSprop,0.9966666666666667,0.82
0,100,0.01,sigmoid,100,train_network_stocastic_ADAM,0.9866666666666667,0.82
0,100,0.01,sigmoid,250,train_network_SRMSprop,1.0,0.85
0,100,0.01,sigmoid,250,train_network_stocastic_ADAM,1.0,0.84
0,100,0.01,sigmoid,500,train_network_SRMSprop,1.0,0.85
0,100,0.01,sigmoid,500,train_network_stocastic_ADAM,1.0,0.85
0,100,0.01,ReLU,25,train_network_SRMSprop,0.8933333333333333,0.63
0,100,0.01,ReLU,25,train_network_stocastic_ADAM,0.8866666666666667,0.77
0,100,0.01,ReLU,50,train_network_SRMSprop,0.9666666666666667,0.82
0,100,0.01,ReLU,50,train_network_stocastic_ADAM,0.94,0.83
0,100,0.01,ReLU,100,train_network_SRMSprop,0.9933333333333333,0.82
0,100,0.01,ReLU,100,train_network_stocastic_ADAM,0.9933333333333333,0.84
0,100,0.01,ReLU,250,train_network_SRMSprop,1.0,0.88
0,100,0.01,ReLU,250,train_network_stocastic_ADAM,1.0,0.86
0,100,0.01,ReLU,500,train_network_SRMSprop,1.0,0.85
0,100,0.01,ReLU,500,train_network_stocastic_ADAM,1.0,0.83
0,100,0.01,leaky_ReLU,25,train_network_SRMSprop,0.9,0.7
0,100,0.01,leaky_ReLU,25,train_network_stocastic_ADAM,0.89,0.75
0,100,0.01,leaky_ReLU,50,train_network_SRMSprop,0.96,0.79
0,100,0.01,leaky_ReLU,50,train_network_stocastic_ADAM,0.9433333333333334,0.78
0,100,0.01,leaky_ReLU,100,train_network_SRMSprop,0.9966666666666667,0.82
0,100,0.01,leaky_ReLU,100,train_network_stocastic_ADAM,0.99,0.83
0,100,0.01,leaky_ReLU,250,train_network_SRMSprop,1.0,0.85
0,100,0.01,leaky_ReLU,250,train_network_stocastic_ADAM,1.0,0.84
0,100,0.01,leaky_ReLU,500,train_network_SRMSprop,1.0,0.85
0,100,0.01,leaky_ReLU,500,train_network_stocastic_ADAM,1.0,0.85
0,250,0.1,sigmoid,25,train_network_SRMSprop,1.0,0.82
0,250,0.1,sigmoid,25,train_network_stocastic_ADAM,0.9966666666666667,0.85
0,250,0.1,sigmoid,50,train_network_SRMSprop,1.0,0.82
0,250,0.1,sigmoid,50,train_network_stocastic_ADAM,1.0,0.77
0,250,0.1,sigmoid,100,train_network_SRMSprop,1.0,0.81
0,250,0.1,sigmoid,100,train_network_stocastic_ADAM,1.0,0.82
0,250,0.1,sigmoid,250,train_network_SRMSprop,1.0,0.82
