n-Layers,Layer-Config,Units,Dropout,n-Epochs,Val Accuracy,Val Loss,Test Accuracy,Test Loss
3,LSTM(30) -> LSTM(120) -> LSTM(480),"(30, 120, 480)",0.0,10,0.8153846263885498,0.44271641969680786,0.8194207549095154,0.42452096939086914
3,LSTM(30) -> LSTM(480) -> LSTM(30),"(30, 480, 30)",0.0,10,0.8307692408561707,0.37875574827194214,0.8330494165420532,0.3503207266330719
3,LSTM(30) -> LSTM(480) -> LSTM(120),"(30, 480, 120)",0.0,10,0.7589743733406067,0.4299543797969818,0.7649062871932983,0.4312308728694916
3,LSTM(30) -> LSTM(480) -> LSTM(480),"(30, 480, 480)",0.0,10,0.7299145460128784,0.6354926228523254,0.7291311621665955,0.6368758678436279
3,LSTM(120) -> LSTM(30) -> LSTM(30),"(120, 30, 30)",0.0,10,0.8512820601463318,0.35115569829940796,0.8620102405548096,0.3357372581958771
3,LSTM(120) -> LSTM(30) -> LSTM(120),"(120, 30, 120)",0.0,10,0.7247863411903381,0.48436665534973145,0.7563884258270264,0.471199095249176
3,LSTM(120) -> LSTM(30) -> LSTM(480),"(120, 30, 480)",0.0,10,0.8051282167434692,0.40744125843048096,0.8177171945571899,0.39769643545150757
3,LSTM(120) -> LSTM(120) -> LSTM(30),"(120, 120, 30)",0.0,10,0.8752136826515198,0.3086596429347992,0.8620102405548096,0.31342703104019165
3,LSTM(120) -> LSTM(120) -> LSTM(120),"(120, 120, 120)",0.0,10,0.8974359035491943,0.33313557505607605,0.8841567039489746,0.3340163826942444
3,LSTM(120) -> LSTM(120) -> LSTM(480),"(120, 120, 480)",0.0,10,0.8905982971191406,0.31654608249664307,0.8739352822303772,0.3178200423717499
3,LSTM(120) -> LSTM(480) -> LSTM(30),"(120, 480, 30)",0.0,10,0.7794871926307678,0.4646568298339844,0.776831328868866,0.4659188985824585
3,LSTM(120) -> LSTM(480) -> LSTM(120),"(120, 480, 120)",0.0,10,0.8871794939041138,0.32569774985313416,0.8892674446105957,0.3368077278137207
