n_hidden,layer_size,eta,activation,n_epochs,optimizer,train_acc,val_acc,test_acc
1,25,0.01,sigmoid,100,train_network_stocastic_momentum,0.9926666666666667,0.88,0.866
1,25,0.01,sigmoid,100,train_network_momentum,0.096,0.09,0.09
1,25,0.01,ReLU,100,train_network_SRMSprop,0.978,0.806,0.82
1,25,0.01,ReLU,100,train_network_stocastic_ADAM,0.9126666666666666,0.782,0.788
1,25,0.01,ReLU,100,train_network_stocastic_momentum,0.096,0.09,0.09
1,25,0.01,ReLU,100,train_network_momentum,0.096,0.09,0.09
1,25,0.01,leaky_ReLU,100,train_network_SRMSprop,0.9906666666666667,0.794,0.764
1,25,0.01,leaky_ReLU,100,train_network_stocastic_ADAM,0.982,0.808,0.848
1,25,0.01,leaky_ReLU,100,train_network_stocastic_momentum,0.096,0.09,0.09
1,25,0.01,leaky_ReLU,100,train_network_momentum,0.096,0.09,0.09
1,250,1.0,sigmoid,100,train_network_SRMSprop,0.096,0.09,0.09
1,250,1.0,sigmoid,100,train_network_stocastic_ADAM,0.096,0.09,0.09
1,250,1.0,sigmoid,100,train_network_stocastic_momentum,0.096,0.09,0.09
1,250,1.0,sigmoid,100,train_network_momentum,0.096,0.09,0.09
1,250,1.0,ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
1,250,1.0,ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
1,250,1.0,ReLU,100,train_network_stocastic_momentum,0.096,0.09,0.09
1,250,1.0,ReLU,100,train_network_momentum,0.096,0.09,0.09
1,250,1.0,leaky_ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
1,250,1.0,leaky_ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
1,250,1.0,leaky_ReLU,100,train_network_stocastic_momentum,0.096,0.09,0.09
1,250,1.0,leaky_ReLU,100,train_network_momentum,0.096,0.09,0.09
1,250,0.1,sigmoid,100,train_network_SRMSprop,0.9533333333333334,0.872,0.842
1,250,0.1,sigmoid,100,train_network_stocastic_ADAM,0.096,0.09,0.09
1,250,0.1,sigmoid,100,train_network_stocastic_momentum,0.096,0.09,0.09
1,250,0.1,sigmoid,100,train_network_momentum,0.096,0.09,0.09
1,250,0.1,ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
1,250,0.1,ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
1,250,0.1,ReLU,100,train_network_stocastic_momentum,0.096,0.09,0.09
1,250,0.1,ReLU,100,train_network_momentum,0.096,0.09,0.09
1,250,0.1,leaky_ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
1,250,0.1,leaky_ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
1,250,0.1,leaky_ReLU,100,train_network_stocastic_momentum,0.096,0.09,0.09
1,250,0.1,leaky_ReLU,100,train_network_momentum,0.096,0.09,0.09
1,250,0.01,sigmoid,100,train_network_SRMSprop,0.9993333333333333,0.912,0.906
1,250,0.01,sigmoid,100,train_network_stocastic_ADAM,0.9926666666666667,0.882,0.874
1,250,0.01,sigmoid,100,train_network_stocastic_momentum,0.998,0.894,0.882
1,250,0.01,sigmoid,100,train_network_momentum,0.096,0.09,0.09
1,250,0.01,ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
1,250,0.01,ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
1,250,0.01,ReLU,100,train_network_stocastic_momentum,0.096,0.09,0.09
1,250,0.01,ReLU,100,train_network_momentum,0.096,0.09,0.09
1,250,0.01,leaky_ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
1,250,0.01,leaky_ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
1,250,0.01,leaky_ReLU,100,train_network_stocastic_momentum,0.096,0.09,0.09
1,250,0.01,leaky_ReLU,100,train_network_momentum,0.096,0.09,0.09
1,1000,1.0,sigmoid,100,train_network_SRMSprop,0.096,0.09,0.09
1,1000,1.0,sigmoid,100,train_network_stocastic_ADAM,0.096,0.09,0.09
1,1000,1.0,sigmoid,100,train_network_stocastic_momentum,0.096,0.09,0.09
1,1000,1.0,sigmoid,100,train_network_momentum,0.096,0.09,0.09
1,1000,1.0,ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
1,1000,1.0,ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
1,1000,1.0,ReLU,100,train_network_stocastic_momentum,0.096,0.09,0.09
1,1000,1.0,ReLU,100,train_network_momentum,0.096,0.09,0.09
